Rank,Player,Wins,Losses,yElo
165,Nicolai Budkov Kjaer,17,18,1591.3
166,Sumit Nagal,14,14,1591.3
167,Jordan Thompson,3,2,1588.9
168,Marco Trungelliti,22,18,1588.8
169,Andre Ilagan,16,11,1588.6
170,August Holmgren,18,17,1588.1
171,Chris Rodesch,17,11,1586.4
172,Lukas Klein,4,3,1585.6
173,Aleksandar Vukic,12,19,1583.3
174,Andrea Guerrieri,12,8,1583.3
175,Liam Draxl,19,13,1582.4
176,Tristan Boyer,14,9,1581.5
177,Damir Dzumhur,12,21,1581.0
178,Valentin Royer,12,20,1580.2
179,Cosme Rolland De Ravel,4,1,1578.6
180,Buvaysar Gadamauri,18,11,1577.6
181,Dusan Lajovic,17,18,1576.4
182,Colton Smith,17,14,1575.9
183,Stan Wawrinka,8,14,1574.6
184,Florian Broska,4,3,1574.2
185,Tom Gentzsch,21,14,1573.4
186,Thanasi Kokkinakis,3,3,1573.1
187,Lorenzo Sonego,6,11,1572.7
188,Corentin Moutet,9,16,1572.4
189,Jenson Brooksby,6,16,1570.8
190,Cristian Garin,9,15,1569.9
191,Pavel Kotov,19,8,1569.2
192,Darwin Blanch,15,14,1568.5
193,Luka Mikrut,8,6,1568.4
194,Joel Schwaerzler,23,15,1568.3
195,Dali Blanch,19,10,1565.7
196,Thiago Monteiro,15,11,1565.4
197,Tomas Barrios Vera,19,19,1565.1
198,Nikolai Barsukov,3,2,1562.5
199,Arthur Bouquier,4,5,1560.6
200,Edas Butvilas,17,14,1559.6
201,Mees Rottgering,3,3,1559.4
202,Timofey Skatov,21,17,1558.9
203,Grigor Dimitrov,6,13,1557.9
204,Kimmer Coppejans,19,15,1557.4
205,Gael Monfils,3,7,1556.0
206,Harry Wendelken,20,13,1555.9
207,Daniel Rincon,10,11,1554.9
208,Jacopo Vasami,11,11,1554.6
209,Gianluca Cadenasso,12,11,1554.2
210,James Mccabe,13,12,1551.6
211,Alex Bolt,17,14,1550.4
212,Mark Lajal,11,12,1547.8
213,Coleman Wong,23,20,1547.7
214,Ryan Seggerman,4,2,1547.5
215,Chun Hsin Tseng,17,17,1545.5
216,Roberto Bautista Agut,9,18,1544.4
217,Tommaso Compagnucci,6,3,1544.0
218,Thiago Seyboth Wild,16,11,1543.5
219,Timo Legout,3,2,1542.2
220,Joshua Sheehy,3,1,1541.2
221,Raul Brancaccio,17,12,1537.7
222,Lautaro Midon,22,15,1537.5
223,Andres Santamarta Roig,3,2,1536.2
224,Vilius Gaubas,20,18,1535.4
225,Franco Roncadelli,21,10,1533.5
226,Francesco Forti,6,5,1533.3
227,Diego Dedura Palomero,15,15,1533.3
228,Liam Broady,19,11,1533.1
229,Rio Noguchi,20,11,1533.1
230,Stefano Travaglia,21,16,1533.0
231,Jack Pinnington Jones,13,14,1532.8
232,Petr Nesterov,8,5,1530.5
233,Andrej Nedic,16,9,1530.2
234,Elias Ymer,11,11,1530.1
235,Hugo Gaston,14,17,1529.9
236,Petr Brunclik,9,7,1529.3
237,Hamish Stewart,12,6,1525.6
238,Felix Gill,13,13,1525.2
239,Nicolas Jarry,4,8,1525.1
240,Jerome Kym,8,9,1524.5
241,Nick Hardt,12,6,1522.6
242,Fajing Sun,17,14,1522.0
243,Alexandre Muller,9,15,1520.4
244,Marek Gengel,8,4,1520.4
245,Jacob Fearnley,8,15,1520.0
246,Andres Andrade,18,13,1519.6
247,Tristan Schoolkate,17,16,1515.9
248,Daniel Elahi Galan,11,17,1515.6
249,Filippo Romano,11,7,1515.5
250,Francesco Passaro,8,8,1512.7
251,Pedro Martinez,17,18,1512.2
252,Thomas Faurel,8,9,1512.2
253,Nerman Fatic,7,9,1510.9
254,Christoph Negritu,5,4,1510.9
255,Rudolf Molleker,3,2,1505.2
256,Joao Lucas Reis Da Silva,16,18,1505.1
257,Mika Brunold,6,4,1503.4
258,Maxim Mrva,16,15,1503.2
259,Billy Harris,10,20,1502.6
260,Luca Nardi,11,14,1502.1
261,Marvin Moeller,3,3,1498.0
262,Henri Squire,11,14,1496.8
263,Luka Pavlovic,14,14,1496.5
264,Dominic Stricker,4,4,1496.1
265,Johan Alexander Rodriguez Rodriguez,4,2,1496.1
266,Zdenek Kolar,19,19,1494.4
267,Justin Boulais,7,7,1494.1
268,Alex Martinez,5,4,1492.7
269,Semen Pankin,3,2,1492.6
270,Giulio Zeppieri,4,5,1490.9
271,Khololwam Montsi,3,2,1490.9
272,Stefan Dostanic,18,11,1490.1
273,Philip Henning,10,6,1489.8
274,Max Houkes,9,11,1489.4
275,Ilya Ivashka,10,7,1489.2
276,Stefano Napolitano,14,11,1488.1
277,Gerard Campana Lee,3,3,1488.1
278,Antoine Ghibaudo,9,9,1487.9
279,Keegan Smith,13,13,1487.4
280,Genaro Alberto Olivieri,14,16,1486.4
281,Jay Dylan Hara Friend,3,3,1485.9
282,Lukas Pokorny,3,3,1485.5
283,Pedro Boscardin Dias,18,17,1485.0
284,Alejandro Moro Canas,17,17,1484.0
285,Igor Ribeiro Marcondes,7,8,1483.2
286,Mili Poljicak,9,6,1483.1
287,Alexander Donski,5,3,1481.2
288,Martin Krumich,14,14,1480.5
289,Mikhail Kukushkin,16,15,1480.3
290,Edward Winter,7,5,1480.0
291,Kei Nishikori,3,5,1478.1
292,Enrico Dalla Valle,12,11,1478.1
293,Yuta Shimizu,10,10,1477.1
294,Juan Manuel La Serna,23,14,1474.7
295,Lilian Marmousez,4,4,1474.3
296,Kriish Tyagi,4,2,1473.5
297,Gonzalo Bueno,21,18,1473.0
298,Tibo Colson,6,5,1472.9
299,Harold Mayot,7,6,1472.7
300,Mackenzie Mcdonald,11,17,1471.0
301,Quinn Vandecasteele,4,4,1468.5
302,Federico Bondioli,7,9,1468.0
303,Lucio Ratti,5,5,1465.9
304,Marc Andrea Huesler,11,13,1465.7
305,Clement Chidekh,21,14,1463.3
306,Oriol Roca Batalla,4,6,1463.0
307,Laurent Lokoli,5,7,1459.7
308,Andrej Martin,5,5,1459.5
309,Daniel Michalski,13,12,1458.5
310,Li Tu,11,9,1456.2
311,Duje Ajdukovic,11,12,1455.7
312,Alexander Vasilev,4,5,1455.7
313,Max Hans Rehberg,9,9,1455.5
314,Yu Hsiou Hsu,12,14,1455.3
315,Jay Clarke,13,17,1455.0
316,Braden Shick,6,5,1454.8
317,Sergey Fomin,12,8,1454.0
318,Benjamin Hassan,7,10,1451.0
319,Mats Rosenkranz,3,3,1450.5
320,Guido Ivan Justo,27,17,1450.3
321,Eero Vasa,3,5,1449.8
322,Maxime Chazal,3,3,1449.5
323,Eliakim Coulibaly,10,8,1448.5
324,Matheus Pucinelli De Almeida,10,8,1445.6
325,Matias Soto,16,10,1444.2
326,Manish Sureshkumar,3,4,1443.4
327,Hyeon Chung,4,7,1443.0
328,Sandro Kopp,10,14,1442.2
329,Jie Cui,3,7,1441.6
330,Oliver Crawford,9,11,1441.3
331,Stefan Palosi,6,6,1439.4
332,Ugo Blanchet,10,15,1439.3
333,Francesco Maestrelli,12,16,1437.5
334,Hugo Grenier,5,9,1437.2
335,Matej Dodig,10,13,1436.0
336,Daniil Ostapenkov,3,3,1433.4
337,Guy Den Ouden,6,14,1432.7
338,Daniil Glinka,17,17,1432.1
339,Luciano Emanuel Ambrogi,12,12,1431.8
